,Address,Price,Beds,Contact
0,765 W Adams St Chicago  60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
1,400 N McClurg Ct Chicago  60611,"$1,730 - $3,093",Studio - 2 Br,844-482-6861
2,850 S Clark St Chicago  60605,"$1,774 - $3,600",Studio - 2 Br,312-462-1938
3,360 E South Water St Chicago  60601,"$1,624 - $4,583",Studio - 2 Br,312-288-8069
4,200 E Chestnut St Chicago  60611,"$1,238 - $7,591",Studio - 2 Br,708-315-6519
5,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
6,401-465 E Illinois St Chicago  60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
7,345 E Wacker Dr Chicago  60601,"$1,724 - $3,806",Studio - 3 Br,773-904-9571
8,555 W Madison St Chicago  60661,"$1,305 - $4,000",Studio - 2 Br,888-692-0211
9,1 W Superior St Chicago  60654,"$1,561 - $3,509",Studio - 2 Br,312-219-9516
10,123 N Des Plaines St Chicago  60661,"$2,079 - $5,471",Studio - 3 Br,312-957-4484
11,3402-3453 N Elaine Pl Chicago  60657,"$1,672 - $3,840",1-3 Br,844-889-9247
12,71 W Hubbard St Chicago  60654,"$1,795 - $6,495",Studio - 3 Br,312-219-9513
13,400 E South Water St Chicago  60601,"$1,660 - $3,947",Studio - 2 Br,866-599-7868
14,500 N Lake Shore Dr Chicago  60611,"$1,475 - $3,990",Studio - 2 Br,312-548-6742
15,37 W Van Buren St Chicago  60605,"$924 - $2,145",Studio - 4 Br,844-250-5735
16,200 E Illinois St Chicago  60611,"$2,061 - $12,878",Studio - 4 Br,773-273-6395
17,1350 N Lake Shore Dr Chicago  60610,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
18,1130 S Michigan Ave Chicago  60605,"$1,562 - $3,443",Studio - 2 Br,866-610-8317
19,850 N Lake Shore Dr Chicago  60611,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
20,11 S Green St Chicago  60607,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
21,840 W Blackhawk St Chicago  60642,"$1,687 - $3,939",Studio - 2 Br,866-958-8596
22,340 E North Water St Chicago  60611,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
