,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago  60661,"$1,524 - $4,514",Studio - 2 Br,844-443-8919
1,840 W Blackhawk St Chicago  60642,"$1,849 - $4,115",Studio - 2 Br,866-958-8596
2,1 W Superior St Chicago  60654,"$1,732 - $3,602",Studio - 2 Br,312-219-9516
3,200 E Illinois St Chicago  60611,"$2,298 - $12,878",Studio - 4 Br,773-273-6395
4,625 W Division St Chicago  60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago  60654,"$2,760 - $5,621",1-3 Br,844-837-3913
6,343 W Wolf Point Plz Chicago  60654,"$1,821 - $10,900",Studio - 3 Br,844-811-0188
7,400 E South Water St Chicago  60601,"$1,707 - $4,130",Studio - 2 Br,866-599-7868
8,360 E South Water St Chicago  60601,"$1,789 - $4,226",Studio - 2 Br,312-288-8069
9,225 N Columbus Dr Chicago  60601,"$1,654 - $5,352",Studio - 2 Br,866-933-3491
10,345 E Wacker Dr Chicago  60601,"$1,866 - $3,675",Studio - 3 Br,773-904-9571
11,555 W Kinzie St Chicago  60654,"$1,537 - $4,443",Studio - 3 Br,312-288-8972
12,123 N Des Plaines St Chicago  60661,"$2,002 - $4,555",Studio - 3 Br,312-957-4484
13,401-465 E Illinois St Chicago  60611,"$2,000 - $5,035",Studio - 2 Br,844-274-9788
14,500 N Lake Shore Dr Chicago  60611,"$1,890 - $2,725",Studio - 1 Br,312-548-6742
15,5140 S Hyde Park Blvd Chicago  60615,"$1,462 - $4,053",1-3 Br,773-432-4830
16,200 E Chestnut St Chicago  60611,"$1,359 - $9,151",Studio - 2 Br,708-315-6519
17,71 W Hubbard St Chicago  60654,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
18,850 S Clark St Chicago  60605,"$1,788 - $3,563",Studio - 2 Br,312-462-1938
19,555 W Madison St Chicago  60661,"$1,370 - $4,065",Studio - 2 Br,888-692-0211
20,8 W Chestnut St Chicago  60610,"$1,575 - $2,709",1-2 Br,312-646-4941
21,1350 N Lake Shore Dr Chicago  60610,"$1,409 - $2,998",Studio - 2 Br,312-462-0403
22,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
23,1130 S Michigan Ave Chicago  60605,"$1,380 - $3,681",Studio - 2 Br,866-610-8317
24,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
