,Address,Price,Beds,Contact
0,10 Apartments in Chicago,"$1,662 - 5,589",Studio - 2 Bed,
1,"675 N Wells St, Chicago, IL","$1,662 - 5,589",Studio - 2 Bed,847-979-4467
2,"165 N Desplaines St, Chicago, IL","$1,875 - 3,900",Studio - 2 Bed,312-964-3725
3,"215 W Lake St, Chicago, IL","$1,945 - 5,520",Studio - 3 Bed,224-220-3563
4,"420 E Ohio St, Chicago, IL","$1,690 - 4,425",Studio - 3 Bed,888-380-0393
5,"500 N Milwaukee Ave, Chicago, IL","$1,705 - 7,145",Studio - 3 Bed,312-964-3768
6,"601 W Jackson Blvd, Chicago, IL","$1,662 - 4,505",Studio - 2 Bed,844-443-8919
7,"200 E Illinois St, Chicago, IL","$2,205 - 10,325",Studio - 3 Bed,773-273-6395
8,"S Hyde Park Blvd, Chicago, IL","$1,462 - 6,022",1-3 Bed,773-432-4830
9,"4334 N Hazel St, Chicago, IL","$1,355 - 3,010",Studio - 2 Bed,888-769-6192
10,"Martin Luther King Dr, Chicago, IL","$753 - 11,348",Studio - 3 Bed,844-827-1869
11,"N Lake Shore Dr, Chicago, IL","$1,438 - 3,204",Studio - 2 Bed,844-740-9960
12,"730 W Couch Pl, Chicago, IL","$1,835 - 5,560",Studio - 3 Bed,844-294-8524
13,"167 W Erie St, Chicago, IL","$1,793 - 5,916",Studio - 3 Bed,844-249-5467
14,"1333 S Wabash Ave, Chicago, IL","$1,885 - 7,534",1-3 Bed,312-767-5990
15,"165 W Superior, Chicago, IL","$1,921 - 7,803",Studio - 3 Bed,844-214-0691
16,"W Wolf Point Plz, Chicago, IL","$1,852 - 9,118",Studio - 3 Bed,844-811-0188
17,"1136-1140 S Wabash Ave, Chicago, IL","$1,445 - 3,460",Studio - 2 Bed,312-637-6585
18,"225 N Columbus Dr, Chicago, IL","$1,895 - 5,194",Studio - 2 Bed,866-933-3491
19,"445 E Ohio St, Chicago, IL","$1,498 - 2,597",Studio - 2 Bed,877-395-7096
20,"555 W Kinzie St, Chicago, IL","$1,415 - 5,573",Studio - 3 Bed,312-288-8972
21,"345 E Wacker Dr, Chicago, IL","$1,815 - 3,948",Studio - 3 Bed,773-904-9571
22,"4050-4064 W 115th St, Chicago, IL","$700 - 1,604",Studio - 2 Bed,331-481-7724
23,"545 N McClurg Ct, Chicago, IL","$2,290 - 8,005",Studio - 3 Bed,844-382-0901
24,"2 E 8th St, Chicago, IL","$2,075 - 5,725",Studio - 3 Bed,855-401-6653
25,"2933 N Sheridan Rd, Chicago, IL","$1,720 - 2,520",1-3 Bed,888-463-3217
