,Address,Price,Beds,Contact
0,"730 W Couch Pl, Chicago, IL","$1,840 - 5,550",,844-294-8524
1,"W Wolf Point Plz, Chicago, IL","$1,711 - 9,413",,844-811-0188
2,"E South Water St, Chicago, IL","$1,770 - 3,709",,866-599-7868
3,"E South Water St, Chicago, IL","$1,808 - 3,744",,312-288-8069
4,"225 N Columbus Dr, Chicago, IL","$1,778 - 4,576",,866-933-3491
5,"345 E Wacker Dr, Chicago, IL","$1,639 - 3,871",,773-904-9571
6,"555 W Kinzie St, Chicago, IL","$1,654 - 6,157",,312-288-8972
7,"833 W Buena Ave, Chicago, IL","$1,320 - 1,780",,888-236-7009
8,"123 N Desplaines St, Chicago, IL","$1,840 - 5,658",,312-957-4484
9,"S Hyde Park Blvd, Chicago, IL","$1,449 - 4,837",,773-432-4830
10,"601 W Jackson Blvd, Chicago, IL","$1,702 - 4,606",,844-443-8919
11,"5527-5537 S Everett Ave, Chicago, IL","$995 - 1,850",,844-285-1275
12,"420 E Ohio St, Chicago, IL","$1,595 - 4,200",,888-380-0393
13,"1 W Superior St, Chicago, IL","$1,526 - 3,935",,312-219-9516
14,"840 W Blackhawk St, Chicago, IL","$1,919 - 4,569",,866-958-8596
15,"200 E Illinois St, Chicago, IL","$1,899 - 12,878",,773-273-6395
16,"500 N Milwaukee Ave, Chicago, IL","$1,705 - 6,156",,312-964-3768
17,"707 N Wells St, Chicago, IL","$2,591 - 5,332",,844-312-7045
18,"S LAKE SHORE Dr, Chicago, IL","$1,312 - 7,151",,866-611-2494
19,"5454 S Shore Dr, Chicago, IL","$1,356 - 6,224",,844-815-4511
20,"5105 S Harper Ave, Chicago, IL","$2,198 - 4,964",,844-867-6288
21,"E Hyde Park Blvd, Chicago, IL","$1,186 - 2,378",,844-761-9442
22,"4726-4740 S Woodlawn Ave, Chicago, IL","$765 - 1,845",,844-265-5221
23,"347 W Chestnut St, Chicago, IL","$1,700 - 6,500",,312-702-1232
