,Address,Price,Beds,Contact
0,840 W Blackhawk St Chicago 60642,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
1,1 W Superior St Chicago 60654,"$1,702 - $5,161",Studio - 2 Br,312-219-9516
2,200 E Illinois St Chicago 60611,"$1,964 - $12,878",Studio - 3 Br,773-273-6395
3,500 N Milwaukee Ave Chicago 60622,"$1,680 - $5,500",Studio - 3 Br,312-964-3768
4,625 W Division St Chicago 60610,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
5,707 N Wells St Chicago 60654,"$2,707 - $5,521",1-3 Br,844-312-7045
6,420 E Ohio St Chicago 60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
7,3402-3453 N Elaine Pl Chicago 60657,"$1,472 - $3,640",1-3 Br,844-889-9247
8,407 S Dearborn St Chicago 60605,Call for Rent,Studio - 4 Br,844-250-5735
9,225 N Columbus Dr Chicago 60601,"$2,087 - $5,525",Studio - 2 Br,866-933-3491
10,730 W Couch Pl Chicago 60661,"$1,750 - $5,550",Studio - 3 Br,844-294-8524
11,W Wolf Point Plz Chicago 60654,"$1,918 - $10,900",Studio - 3 Br,844-811-0188
12,E South Water St Chicago 60601,"$1,800 - $4,105",Studio - 2 Br,866-599-7868
13,E South Water St Chicago 60601,"$2,003 - $5,167",Studio - 2 Br,312-288-8069
14,345 E Wacker Dr Chicago 60601,"$1,959 - $4,901",Studio - 3 Br,773-904-9571
15,555 W Kinzie St Chicago 60654,"$1,570 - $5,735",Studio - 3 Br,312-288-8972
16,601 W Jackson Blvd Chicago 60661,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
17,N Des Plaines St Chicago 60661,"$2,026 - $5,104",Studio - 3 Br,312-957-4484
18,N Lake Shore Dr Chicago 60611,"$1,825 - $4,200",Studio - 2 Br,312-548-6742
19,1209 W Arthur Ave Chicago 60626,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
20,1890 Maple St Chicago 60201,"$1,685 - $10,000",Studio - 3 Br,224-420-9126
21,200 E Chestnut St Chicago 60611,"$1,445 - $11,443",Studio - 2 Br,708-315-6519
22,71 W Hubbard St Chicago 60654,"$1,913 - $6,535",Studio - 3 Br,312-219-9513
23,850 S Clark St Chicago 60605,"$1,762 - $3,405",Studio - 2 Br,312-462-1938
24,555 W Madison St Chicago 60661,"$1,389 - $4,852",Studio - 2 Br,888-692-0211
