,Address,Price,Beds,Contact
0,10 Apartments in Chicago,"$2,308 - 5,936",Studio - 2 Beds,
1,"1457 N Halsted St, Chicago, IL","$2,308 - 5,936",Studio - 2 Beds,(708) 919-2291
2,"234 W Polk St, Chicago, IL","$2,170 - 5,355",Studio - 3 Beds,(855) 647-4540
3,"5630 N Sheridan Rd, Chicago, IL","$1,130 - 1,550",Studio - 1 Bed,(224) 344-1827
4,"930 W Altgeld St, Chicago, IL","$2,080 - 14,700",Studio - 3 Beds,(708) 512-8807
5,"5252 S Cornell Ave, Chicago, IL","$2,485 - 9,853",Studio - 3 Beds,(219) 600-3503
6,"1950 N Campbell Ave, Chicago, IL","$2,400 - 3,900",1-2 Beds,(224) 442-8203
7,"121 W Chestnut St, Chicago, IL","$2,081 - 11,979",Studio - 3 Beds,(708) 775-3701
8,"1210 N State Pkwy, Chicago, IL","$2,990 - 6,423",Studio - 2 Beds,(708) 683-3938
9,"E North Water St, Chicago, IL","$2,175 - 11,882",Studio - 3 Beds,(708) 329-0750
10,"11 S Green St, Chicago, IL","$2,103 - 8,701",Studio - 2 Beds,(708) 303-6734
11,"2552 N Milwaukee Ave, Chicago, IL","$2,008 - 4,620",Studio - 2 Beds,(708) 938-3337
12,"8 E Huron St, Chicago, IL","$2,580 - 7,045",1-3 Beds,(708) 393-2727
13,"Milieu 205 S Peoria, Chicago, IL","$2,217 - 5,137",Studio - 2 Beds,(708) 775-3278
14,"747 N Wabash Ave, Chicago, IL","$2,209 - 5,832",Studio - 2 Beds,(708) 775-2468
15,"833 N Clark St, Chicago, IL","$2,581 - 17,000",Studio - 3 Beds,(708) 665-2652
16,"808 N Wells St, Chicago, IL","$1,979 - 6,009",Studio - 2 Beds,(708) 919-3074
17,"166 N Aberdeen St, Chicago, IL","$2,295 - 9,745",Studio - 3 Beds,(708) 393-8249
18,"1935 S Wabash Ave, Chicago, IL","$2,415 - 4,495",1-2 Beds,(708) 919-2774
19,"1164-1212 W Madison St, Chicago, IL","$2,431 - 7,861",Studio - 2 Beds,(708) 775-2252
20,"840 W Blackhawk St, Chicago, IL","$2,285 - 4,185",Studio - 2 Beds,(708) 303-7522
21,"465 N Park Dr, Chicago, IL","$2,441 - 21,892",Studio - 3 Beds,(708) 725-1453
22,"200 E Illinois St, Chicago, IL","$2,476 - 9,219",1-3 Beds,(708) 665-2628
23,"51 E 14th St, Chicago, IL","$1,820 - 5,200",Studio - 2 Beds,(708) 775-3764
24,"345 E Ohio St, Chicago, IL","$2,085 - 6,740",Studio - 3 Beds,(708) 303-7718
25,"2345 N Lincoln Ave, Chicago, IL","$2,510 - 7,962",Studio - 3 Beds,(224) 998-0053
