,Address,Price,Beds,Contact
0,10  Apartments in Chicago ,"$2,309 - 5,936",Studio - 2 Beds,
1,"1457 N Halsted St, Chicago, IL ","$2,309 - 5,936",Studio - 2 Beds,(708) 919-2291
2,"234 W Polk St, Chicago, IL ","$2,170 - 5,365",Studio - 3 Beds,(855) 647-4540
3,"5630 N Sheridan Rd, Chicago, IL ","$1,130 - 1,550",Studio - 1 Bed,(224) 344-1827
4,"930 W Altgeld St, Chicago, IL ","$2,170 - 14,700",Studio - 3 Beds,(708) 512-8807
5,"512-8807 Email 5252 S Cornell Ave, Chicago, IL ","$2,450 - 9,853",Studio - 3 Beds,(219) 600-3503
6,"1950 N Campbell Ave, Chicago, IL ","$2,400 - 3,900",1-2 Beds,(224) 442-8203
7,"121 W Chestnut St, Chicago, IL ","$2,241 - 11,979",Studio - 3 Beds,(708) 775-3701
8,"340 E North Water St, Chicago, IL ","$2,234 - 12,074",Studio - 3 Beds,(708) 329-0750
9,"2552 N Milwaukee Ave, Chicago, IL ","$2,040 - 5,000",Studio - 2 Beds,(708) 938-3337
10,"938-3337 Email Milieu 205 S Peoria, Chicago, IL ","$2,217 - 4,826",Studio - 2 Beds,(708) 775-3278
11,"775-3278 Email 1210 N State Pkwy, Chicago, IL ","$2,990 - 6,423",Studio - 2 Beds,(708) 683-3938
12,"11 S Green St, Chicago, IL ","$2,087 - 8,581",Studio - 2 Beds,(708) 303-6734
13,"2300 N Lincoln Park, Chicago, IL ","$2,610 - 8,403",Studio - 3 Beds,(224) 470-7746
14,"8 E Huron St, Chicago, IL ","$2,580 - 7,045",1-3 Beds,(708) 393-2727
15,"808 808 N Wells St, Chicago, IL ","$1,975 - 6,009",Studio - 2 Beds,(708) 919-3074
16,"747 N Wabash Ave, Chicago, IL ","$2,209 - 5,797",Studio - 2 Beds,(708) 775-2468
17,"833 N Clark St, Chicago, IL ","$2,581 - 17,000",Studio - 3 Beds,(708) 665-2652
18,"922 922 W Washington Blvd, Chicago, IL ","$2,596 - 5,114",1-2 Beds,(708) 775-3769
19,"1935 S Wabash Ave, Chicago, IL ","$2,385 - 4,580",1-2 Beds,(708) 919-2774
20,"2345 N Lincoln Ave, Chicago, IL ","$2,334 - 7,802",Studio - 3 Beds,(224) 998-0053
21,"465 N Park Dr, Chicago, IL ","$2,433 - 20,596",Studio - 3 Beds,(708) 725-1453
22,"51 E 14th St, Chicago, IL ","$1,865 - 5,200",Studio - 2 Beds,(708) 775-3764
23,"166 N Aberdeen St, Chicago, IL ","$2,295 - 9,745",Studio - 3 Beds,(708) 393-8249
24,"200 E Illinois St, Chicago, IL ","$2,476 - 10,213",1-3 Beds,(708) 665-2628
25,"840 W Blackhawk St, Chicago, IL ","$2,254 - 4,134",Studio - 2 Beds,(708) 303-7522
