,Address,Price,Beds,Contact
0,11 S Green St Chicago  60607,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
1,840 W Blackhawk St Chicago  60642,"$2,060 - $3,900",Studio - 2 Br,866-958-8596
2,200 E Illinois St Chicago  60611,"$2,049 - $12,878",Studio - 4 Br,773-273-6395
3,1 W Superior St Chicago  60654,"$1,573 - $3,527",Studio - 2 Br,312-219-9516
4,220 W Illinois St Chicago  60654,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
5,625 W Division St Chicago  60610,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
6,707 N Wells St Chicago  60654,"$2,740 - $5,621",1-3 Br,844-837-3913
7,343 W Wolf Point Plz Chicago  60654,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
8,400 E South Water St Chicago  60601,"$1,736 - $2,506",Studio - 2 Br,866-599-7868
9,360 E South Water St Chicago  60601,"$1,660 - $4,941",Studio - 2 Br,312-288-8069
10,345 E Wacker Dr Chicago  60601,"$1,752 - $3,677",Studio - 3 Br,773-904-9571
11,225 N Columbus Dr Chicago  60601,"$1,611 - $5,443",Studio - 2 Br,866-933-3491
12,123 N Des Plaines St Chicago  60661,"$1,940 - $4,200",Studio - 3 Br,312-957-4484
13,500 N Lake Shore Dr Chicago  60611,"$1,900 - $4,170",Studio - 2 Br,312-548-6742
14,5140 S Hyde Park Blvd Chicago  60615,"$1,498 - $5,294",1-3 Br,773-432-4830
15,200 E Chestnut St Chicago  60611,"$1,271 - $7,591",Studio - 2 Br,708-315-6519
16,71 W Hubbard St Chicago  60654,"$1,795 - $6,382",Studio - 3 Br,312-219-9513
17,850 S Clark St Chicago  60605,"$1,780 - $3,600",Studio - 2 Br,312-462-1938
18,555 W Madison St Chicago  60661,"$1,335 - $8,030",Studio - 2 Br,888-692-0211
19,8 W Chestnut St Chicago  60610,"$1,419 - $2,679",1-2 Br,312-646-4941
20,1130 S Michigan Ave Chicago  60605,"$1,455 - $3,665",Studio - 2 Br,866-610-8317
21,1350 N Lake Shore Dr Chicago  60610,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
22,25 W Randolph St Chicago  60602,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
23,910 W Huron St Chicago  60642,"$1,965 - $4,610",Studio - 4 Br,844-741-2982
24,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
