,Address,Price,Beds,Contact
0,10 Apartments in Chicago 727,"$1,735 - 7,585",Studio - 3 Bed,
1,"727 W Madison St, Chicago, IL ","$1,735 - 7,585",Studio - 3 Bed,844-250-6352
2,"465 N Park Dr, Chicago, IL ","$1,710 - 13,000",Studio - 3 Bed,844-562-1138
3,"720 S Wells St, Chicago, IL ","$1,755 - 7,589",Studio - 3 Bed,855-394-3893
4,"2300 S Michigan Ave, Chicago, IL ","$1,520 - 2,705",1-2 Bed,312-646-4878
5,"311 W Illinois St, Chicago, IL ","$1,875 - 5,860",Studio - 3 Bed,844-323-7090
6,"555 W Madison St, Chicago, IL ","$1,450 - 3,265",Studio - 2 Bed,888-692-0211
7,"175 N Harbor Dr, Chicago, IL ","$1,718 - 5,281",Studio - 3 Bed,888-767-6014
8,"1350 N Wells St, Chicago, IL ","$1,570 - 4,030",Studio - 2 Bed,866-854-1757
9,"4334 N Hazel St, Chicago, IL ","$1,460 - 2,345",Studio - 2 Bed,888-769-6192
10,"4-22 N Aberdeen St, Chicago, IL ","$2,795 - 3,920",Studio - 3 Bed,844-617-1509
11,"320 W Illinois St, Chicago, IL ","$1,435 - 3,500",Studio - 2 Bed,844-402-3801
12,"2851 S Martin Luther King Dr, Chicago, IL ","$764 - 7,115",Studio - 3 Bed,844-827-1869
13,"500 E 33rd St, Chicago, IL ","$633 - 5,237",Studio - 3 Bed,844-687-6555
14,"1350 N Lake Shore Dr, Chicago, IL ","$1,318 - 10,276",Studio - 2 Bed,844-740-9960
15,"730 W Couch Pl, Chicago, IL ","$2,030 - 14,491",Studio - 3 Bed,844-294-8524
16,"167 W Erie St, Chicago, IL ","$1,863 - 5,595",Studio - 3 Bed,844-249-5467
17,"1333 S Wabash Ave, Chicago, IL ","$1,915 - 7,534",1-3 Bed,312-767-5990
18,"165 W Superior, Chicago, IL ","$1,815 - 5,026",Studio - 3 Bed,844-214-0691
19,"343 W Wolf Point Plz, Chicago, IL ","$1,974 - 10,000",Studio - 3 Bed,844-811-0188
20,"1136-1140 S Wabash Ave, Chicago, IL ","$1,445 - 3,370",Studio - 2 Bed,312-637-6585
21,"225 N Columbus Dr, Chicago, IL ","$1,916 - 5,054",Studio - 2 Bed,866-933-3491
22,"1 E Delaware Pl, Chicago, IL ","$1,730 - 3,575",Studio - 2 Bed,855-707-4966
23,"445 E Ohio St, Chicago, IL ","$1,492 - 2,425",Studio - 2 Bed,877-395-7096
24,"555 W Kinzie St, Chicago, IL ","$1,542 - 3,374",Studio - 3 Bed,312-288-8972
