,Address,Price,Beds,Contact
0,10 Apartments in Chicago ,"$1,462 - 6,022",1-3 Bed,
1,"5140 S Hyde Park Blvd, Chicago, IL ","$1,462 - 6,022",1-3 Bed,773-432-4830
2,"4334 N Hazel St, Chicago, IL ","$1,385 - 3,050",Studio - 2 Bed,888-769-6192
3,"2851 S Martin Luther King Dr, Chicago, IL ","$743 - 12,108",Studio - 3 Bed,844-827-1869
4,"1350 N Lake Shore Dr, Chicago, IL ","$1,522 - 2,705",Studio - 2 Bed,844-740-9960
5,"730 W Couch Pl, Chicago, IL ","$1,835 - 5,560",Studio - 3 Bed,844-294-8524
6,"167 W Erie St, Chicago, IL ","$1,813 - 5,916",Studio - 3 Bed,844-249-5467
7,"1333 S Wabash Ave, Chicago, IL ","$1,886 - 7,534",1-3 Bed,312-767-5990
8,"165 W Superior, Chicago, IL ","$1,918 - 7,803",Studio - 3 Bed,844-214-0691
9,"343 W Wolf Point Plz, Chicago, IL ","$1,671 - 19,604",Studio - 3 Bed,844-811-0188
10,"1136-1140 S Wabash Ave, Chicago, IL ","$1,445 - 3,460",Studio - 2 Bed,312-637-6585
11,"225 N Columbus Dr, Chicago, IL ","$1,807 - 5,194",Studio - 2 Bed,866-933-3491
12,"445 E Ohio St, Chicago, IL ","$1,450 - 2,662",Studio - 2 Bed,877-395-7096
13,"555 W Kinzie St, Chicago, IL ","$1,582 - 5,573",Studio - 3 Bed,312-288-8972
14,"345 E Wacker Dr, Chicago, IL ","$1,815 - 3,094",Studio - 3 Bed,773-904-9571
15,"4050-4064 W 115th St, Chicago, IL ","$820 - 1,602",Studio - 2 Bed,331-481-7724
16,"545 N McClurg Ct, Chicago, IL ","$2,190 - 8,005",Studio - 3 Bed,844-382-0901
17,"2 E 8th St, Chicago, IL ","$1,625 - 5,725",Studio - 3 Bed,855-401-6653
18,"2933 N Sheridan Rd, Chicago, IL ","$1,735 - 2,575",1-3 Bed,888-463-3217
19,"833 W Buena Ave, Chicago, IL ","$1,275 - 1,905",1-3 Bed,844-812-0763
20,"401-411 W Fullerton Pky, Chicago, IL ","$1,390 - 3,090",Studio - 3 Bed,844-812-0758
21,"401-465 E Illinois St, Chicago, IL ","$2,535 - 4,690",Studio - 3 Bed,844-274-9788
22,"24 S Morgan St, Chicago, IL ","$2,310 - 6,305",1-3 Bed,312-283-3511
23,"801 S Financial Pl, Chicago, IL ","$1,644 - 4,681",Studio - 3 Bed,844-882-1374
24,"123 N Desplaines St, Chicago, IL ","$2,045 - 5,438",Studio - 3 Bed,779-227-6327
25,"850 N Lake Shore Dr, Chicago, IL ","$3,055 - 7,513",Studio - 3 Bed,312-462-1903
