,Address,Price,Beds,Contact
0,345 E Wacker Dr Chicago  60601,"$1,611 - $4,121",Studio - 3 Br,773-904-9571
1,805 N LaSalle Dr Chicago  60610,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
2,200 E Illinois St Chicago  60611,"$1,898 - $12,878",Studio - 4 Br,773-273-6395
3,111 W Wacker Dr Chicago  60601,"$1,816 - $7,584",Studio - 3 Br,708-546-4173
4,1 W Superior St Chicago  60654,"$1,495 - $5,359",Studio - 2 Br,312-219-9516
5,37 W Van Buren St Chicago  60605,"$1,339 - $3,525",Studio - 4 Br,844-250-5735
6,900 S Clark St Chicago  60605,"$1,339 - $3,525",Studio - 3 Br,877-834-2986
7,850 S Clark St Chicago  60605,"$1,561 - $3,578",Studio - 2 Br,312-462-1938
8,400 N McClurg Ct Chicago  60611,"$1,438 - $2,728",Studio - 2 Br,877-421-7889
9,850 N Lake Shore Dr Chicago  60611,Call for Rent,Studio - 3 Br,312-462-1903
10,400 E South Water St Chicago  60601,"$1,558 - $3,301",Studio - 2 Br,866-599-7868
11,340 E North Water St Chicago  60611,"$1,969 - $13,500",Studio - 3 Br,844-402-4750
12,1130 S Michigan Ave Chicago  60605,"$1,284 - $3,049",Studio - 2 Br,866-610-8317
13,555 W Madison St Chicago  60661,"$1,390 - $3,117",Studio - 2 Br,888-692-0211
14,765 W Adams St Chicago  60661,"$1,690 - $7,900",Studio - 3 Br,773-675-1174
15,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,855-539-7702
16,71 W Hubbard St Chicago  60654,"$1,902 - $6,969",Studio - 3 Br,312-219-9513
17,707 N Wells St Chicago  60654,"$2,707 - $5,621",1-3 Br,844-837-3913
18,11 S Green St Chicago  60607,"$1,545 - $3,615",Studio - 2 Br,844-417-3242
19,5140 S Hyde Park Blvd Chicago  60615,"$1,199 - $5,684",1-3 Br,773-432-4830
20,1350 N Lake Shore Dr Chicago  60610,"$1,329 - $3,032",Studio - 2 Br,312-462-0403
21,500 E 33rd St Chicago  60616,"$732 - $1,947",Studio - 3 Br,312-985-0261
22,225 N Columbus Dr Chicago  60601,"$1,689 - $4,964",Studio - 2 Br,866-933-3491
23,123 N Des Plaines St Chicago  60661,"$1,895 - $4,369",Studio - 3 Br,312-957-4484
24,3402-3453 N Elaine Pl Chicago  60657,,1-2 Br,844-889-9247
