,Address,Price,Beds,Contact
0,555 W Kinzie St Chicago  60654,"$1,564 - $4,380",Studio - 3 Br,312-288-8972
1,123 N Des Plaines St Chicago  60661,"$1,904 - $4,856",Studio - 3 Br,312-957-4484
2,500 N Lake Shore Dr Chicago  60611,"$1,965 - $4,120",Studio - 2 Br,312-548-6742
3,5140 S Hyde Park Blvd Chicago  60615,"$1,489 - $3,987",1-3 Br,773-432-4830
4,840 W Blackhawk St Chicago  60642,"$1,886 - $4,441",Studio - 2 Br,866-958-8596
5,1 W Superior St Chicago  60654,"$1,566 - $4,166",Studio - 2 Br,312-219-9516
6,200 E Illinois St Chicago  60611,"$2,182 - $12,878",Studio - 3 Br,773-273-6395
7,500 N Milwaukee Ave Chicago  60622,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
8,707 N Wells St Chicago  60654,"$2,707 - $5,796",1-3 Br,844-837-3913
9,625 W Division St Chicago  60610,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
10,200 E Chestnut St Chicago  60611,"$1,384 - $9,070",Studio - 2 Br,708-315-6519
11,1209 W Arthur Ave Chicago  60626,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
12,71 W Hubbard St Chicago  60654,"$1,867 - $6,483",Studio - 3 Br,312-219-9513
13,850 S Clark St Chicago  60605,"$1,749 - $3,391",Studio - 2 Br,312-462-1938
14,555 W Madison St Chicago  60661,"$1,420 - $4,815",Studio - 2 Br,888-692-0211
15,545 N McClurg Ct Chicago  60611,"$1,766 - $8,805",Studio - 3 Br,844-382-0901
16,1890 Maple St Chicago  60201,"$1,636 - $5,988",Studio - 3 Br,224-420-9126
17,8 W Chestnut St Chicago  60610,"$1,575 - $2,709",1-2 Br,312-646-4941
18,1130 S Michigan Ave Chicago  60605,"$1,506 - $3,590",Studio - 2 Br,866-610-8317
19,1350 N Lake Shore Dr Chicago  60610,"$1,272 - $3,146",Studio - 2 Br,312-462-0403
20,1001 S State St Chicago  60605,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
21,25 W Randolph St Chicago  60602,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
22,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
23,910 W Huron St Chicago  60642,"$2,065 - $2,960",Studio - 4 Br,844-741-2982
24,400 N McClurg Ct Chicago  60611,"$1,911 - $2,583",Studio - 2 Br,844-482-6861
