,Address,Price,Beds,Contact
0,500 N Lake Shore Dr Chicago  60611,"$1,885 - $3,825",Studio - 2 Br,312-548-6742
1,37 W Van Buren St Chicago  60605,"$2,025 - $4,145",Studio - 4 Br,844-250-5735
2,220 W Illinois St Chicago  60654,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
3,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
4,123 N Des Plaines St Chicago  60661,"$2,389 - $5,377",Studio - 3 Br,312-957-4484
5,555 W Madison St Chicago  60661,"$1,325 - $3,980",Studio - 2 Br,888-692-0211
6,910 W Huron St Chicago  60642,"$1,925 - $3,410",Studio - 4 Br,844-741-2982
7,360 E South Water St Chicago  60601,"$1,715 - $3,884",Studio - 2 Br,312-288-8069
8,400 N McClurg Ct Chicago  60611,"$1,845 - $2,926",Studio - 2 Br,844-482-6861
9,225 N Columbus Dr Chicago  60601,"$1,634 - $5,123",Studio - 2 Br,866-933-3491
10,5140 S Hyde Park Blvd Chicago  60615,"$1,378 - $5,781",1-3 Br,773-432-4830
11,765 W Adams St Chicago  60661,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
12,71 W Hubbard St Chicago  60654,"$1,791 - $6,495",Studio - 3 Br,312-219-9513
13,3402-3453 N Elaine Pl Chicago  60657,"$1,672 - $3,488",1-3 Br,844-889-9247
14,1350 N Lake Shore Dr Chicago  60610,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
15,850 N Lake Shore Dr Chicago  60611,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
16,400 E South Water St Chicago  60601,"$1,631 - $4,312",Studio - 2 Br,866-599-7868
17,345 E Wacker Dr Chicago  60601,"$1,633 - $4,688",Studio - 3 Br,773-904-9571
18,1 W Superior St Chicago  60654,"$1,636 - $4,673",Studio - 2 Br,312-219-9516
19,401-465 E Illinois St Chicago  60611,"$1,775 - $4,445",Studio - 2 Br,844-274-9788
20,200 E Illinois St Chicago  60611,"$1,924 - $12,878",Studio - 4 Br,773-273-6395
21,11 S Green St Chicago  60607,"$2,802 - $2,964",Studio - 2 Br,844-417-3242
22,840 W Blackhawk St Chicago  60642,"$1,687 - $4,058",Studio - 2 Br,866-958-8596
23,340 E North Water St Chicago  60611,"$1,819 - $10,995",Studio - 3 Br,844-402-4750
24,1130 S Michigan Ave Chicago  60605,"$1,269 - $3,383",Studio - 2 Br,866-610-8317
