,Address,Price,Beds,Contact
0,340 E North Water St Chicago  60611,"$1,919 - $8,649",Studio - 3 Br,844-402-4750
1,601 W Jackson Blvd Chicago  60661,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
2,420 E Ohio St Chicago  60611,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
3,71 W Hubbard St Chicago  60654,"$1,918 - $6,535",Studio - 3 Br,312-219-9513
4,850 S Clark St Chicago  60605,"$1,757 - $3,419",Studio - 2 Br,312-462-1938
5,1890 Maple St Chicago  60201,"$1,685 - $10,000",Studio - 3 Br,224-420-9126
6,200 E Chestnut St Chicago  60611,"$1,445 - $11,443",Studio - 2 Br,708-315-6519
7,1209 W Arthur Ave Chicago  60626,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
8,555 W Madison St Chicago  60661,"$1,435 - $4,935",Studio - 2 Br,888-692-0211
9,8 W Chestnut St Chicago  60610,"$1,339 - $2,789",1-2 Br,312-646-4941
10,545 N McClurg Ct Chicago  60611,"$1,995 - $8,805",Studio - 3 Br,844-382-0901
11,1350 N Lake Shore Dr Chicago  60610,"$1,288 - $3,019",Studio - 2 Br,312-462-0403
12,1130 S Michigan Ave Chicago  60605,"$1,471 - $4,354",Studio - 2 Br,866-610-8317
13,1001 S State St Chicago  60605,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
14,25 W Randolph St Chicago  60601,"$1,871 - $7,987",Studio - 3 Br,844-808-9214
15,347 W Chestnut St Chicago  60610,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
16,1164-1212 W Madison St Chicago  60607,"$1,875 - $3,250",Studio - 2 Br,844-737-7559
17,161 W Kinzie St Chicago  60654,"$1,685 - $6,337",Studio - 2 Br,844-892-1659
18,910 W Huron St Chicago  60642,Call for Rent,Studio - 4 Br,844-741-2982
19,11 S Green St Chicago  60607,"$1,539 - $3,589",Studio - 2 Br,844-417-3242
20,400 N McClurg Ct Chicago  60611,"$1,593 - $2,475",Studio - 2 Br,844-482-6861
21,5020-5050 S LAKE SHORE Dr Chicago  60615,"$1,387 - $2,678",Studio - 2 Br,866-611-2494
22,5105 S Harper Ave Chicago  60615,"$1,808 - $4,799",1-3 Br,844-867-6288
23,5454 S Shore Dr Chicago  60615,"$1,440 - $4,415",Studio - 3 Br,844-815-4511
24,1606 E Hyde Park Blvd Chicago  60615,"$1,199 - $2,106",Studio - 2 Br,844-761-9442
