,Link,Address,Beds,Rent
45,https://web.archive.org/web/20150905074238/https://www.apartments.com/chicago-il/2/,77 W Huron St,Studio - 3 Br,"$1,590 - $5,360"
46,https://web.archive.org/web/20150905074238/https://www.apartments.com/chicago-il/2/,860 N Dewitt Pl,Studio - 2 Br,"$1,575 - $3,760"
47,https://web.archive.org/web/20150905074238/https://www.apartments.com/chicago-il/2/,3450 N Lake Shore Dr,Studio - 2 Br,"$1,428 - $2,634"
48,https://web.archive.org/web/20150905074238/https://www.apartments.com/chicago-il/2/,500 N Lake Shore Dr,Studio - 2 Br,"$1,975 - $5,285"
49,https://web.archive.org/web/20150905074238/https://www.apartments.com/chicago-il/2/,8 E 9th St,Studio - 2 Br,"$1,736 - $4,500"
50,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,5718 N Winthrop Ave,Studio - 2 Br,"$850 - $2,100"
51,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,2138 S Indiana Ave,1-2 Br,"$1,315 - $3,193"
52,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,500 N Lake Shore Dr,Studio,"$1,855 - $2,355"
53,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,520 N Kingsbury St,Studio - 2 Br,"$1,612 - $3,479"
54,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,833 W Buena Ave,1-3 Br,"$1,025 - $1,755"
55,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,1325 W Wilson Ave,Studio - 2 Br,"$925 - $1,450"
56,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,200 E Chestnut St,Studio - 2 Br,"$1,230 - $2,610"
57,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,1350 E 53rd St,1-2 Br,Call for Rent
58,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,33 W Superior St,Studio - 2 Br,"$1,645 - $5,581"
59,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,765 W Adams St,Studio - 3 Br,"$1,620 - $8,125"
60,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,360 W Hubbard St,Studio - 2 Br,"$1,775 - $4,172"
61,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,1350 N Wells St,Studio - 2 Br,"$1,480 - $3,205"
62,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,6104 S Woodlawn Ave,Studio - 1 Br,"$576 - $1,032"
63,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,8 E 9th St,Studio - 2 Br,"$1,606 - $4,000"
64,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,185 N Wabash Ave,Studio - 2 Br,"$1,455 - $4,700"
65,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,150 W Roosevelt Rd,1-2 Br,"$1,760 - $4,255"
66,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,532 W Roscoe St,Studio - 1 Br,"$998 - $1,483"
67,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,840 W Blackhawk St,Studio - 2 Br,"$1,794 - $4,117"
68,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,910 W Lake St,1-2 Br,"$1,395 - $2,400"
69,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,175 N Harbor Dr,Studio - 3 Br,"$1,400 - $4,255"
70,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,823 W Buena Ave,Studio - 1 Br,"$965 - $1,335"
71,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,5650 N Sheridan Rd,Studio - 2 Br,"$995 - $1,995"
72,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,2555 N Clark St,Studio - 2 Br,"$1,383 - $2,460"
73,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,345 E Ohio St,Studio - 3 Br,"$1,647 - $5,080"
74,https://web.archive.org/web/20150324042453/https://www.apartments.com/chicago-il/3/,2701 S Indiana Ave,Studio - 4 Br,"$872 - $1,480"
75,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,353 N Desplaines St,Studio - 2 Br,"$1,664 - $3,109"
76,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,5718 N Winthrop Ave,Studio - 2 Br,"$950 - $2,100"
77,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,1325 W Wilson Ave,Studio - 2 Br,"$925 - $1,600"
78,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,1936 N Clark St,Studio - 2 Br,"$1,175 - $1,995"
79,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,747 N Wabash Ave,Studio - 2 Br,"$1,815 - $7,275"
80,https://web.archive.org/web/20150905103027/https://www.apartments.com/chicago-il/3/,2138 S Indiana Ave,1-2 Br,"$1,632 - $3,233"
