,Address,Price,Beds,Contact
0,400 E South Water St Chicago  6,"$1,805 - $4,595",Studio - 2 Br,866-599-7868
1,345 E Wacker Dr Chicago  6,"$1,577 - $3,525",Studio - 3 Br,773-904-9571
2,360 E South Water St Chicago  6,"$1,624 - $4,469",Studio - 2 Br,312-288-8069
3,343 W Wolf Point Plz Chicago  6,"$1,841 - $10,900",Studio - 3 Br,844-811-0188
4,225 N Columbus Dr Chicago  6,"$1,840 - $5,154",Studio - 2 Br,866-933-3491
5,730 W Couch Pl Chicago  6,"$1,750 - $5,000",Studio - 3 Br,844-294-8524
6,555 W Kinzie St Chicago  6,"$1,550 - $4,497",Studio - 3 Br,312-288-8972
7,123 N Des Plaines St Chicago  6,"$1,938 - $5,096",Studio - 3 Br,312-957-4484
8,500 N Lake Shore Dr Chicago  6,"$1,835 - $2,800",Studio - 1 Br,312-548-6742
9,840 W Blackhawk St Chicago  6,"$2,216 - $4,238",Studio - 2 Br,866-958-8596
10,601 W Jackson Blvd Chicago  6,"$1,520 - $4,565",Studio - 2 Br,844-443-8919
11,200 E Chestnut St Chicago  6,"$1,198 - $8,375",Studio - 2 Br,708-315-6519
12,555 W Madison St Chicago  6,"$1,358 - $4,065",Studio - 2 Br,888-692-0211
13,1350 N Lake Shore Dr Chicago  6,"$1,339 - $3,078",Studio - 2 Br,312-462-0403
14,910 W Huron St Chicago  6,"$1,970 - $3,360",Studio - 4 Br,844-741-2982
15,161 W Kinzie St Chicago  6,"$1,890 - $6,337",Studio - 2 Br,844-892-1659
16,400 N McClurg Ct Chicago  6,"$1,768 - $3,061",Studio - 2 Br,844-482-6861
17,71 W Hubbard St Chicago  6,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
18,850 S Clark St Chicago  6,"$1,725 - $3,452",Studio - 2 Br,312-462-1938
19,8 W Chestnut St Chicago  6,"$1,475 - $2,709",1-2 Br,312-646-4941
20,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
21,200 E Illinois St Chicago  6,"$2,168 - $12,878",Studio - 3 Br,773-273-6395
22,1 W Superior St Chicago  6,"$1,572 - $4,114",Studio - 2 Br,312-219-9516
23,1130 S Michigan Ave Chicago  6,"$1,422 - $3,681",Studio - 2 Br,866-610-8317
