,Address,Price,Beds,Contact
0,730 W Couch Pl Chicago  6,"$1,750 - $5,000",Studio - 3 Br,844-294-8524
1,555 W Kinzie St Chicago  6,"$1,563 - $4,353",Studio - 3 Br,312-288-8972
2,123 N Des Plaines St Chicago  6,"$1,943 - $4,717",Studio - 3 Br,312-957-4484
3,5140 S Hyde Park Blvd Chicago  6,"$1,489 - $3,987",1-3 Br,773-432-4830
4,500 N Lake Shore Dr Chicago  6,"$1,970 - $4,120",Studio - 2 Br,312-548-6742
5,1 W Superior St Chicago  6,"$1,566 - $4,166",Studio - 2 Br,312-219-9516
6,840 W Blackhawk St Chicago  6,"$1,983 - $4,433",Studio - 2 Br,866-958-8596
7,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
8,200 E Illinois St Chicago  6,"$2,182 - $12,878",Studio - 3 Br,773-273-6395
9,625 W Division St Chicago  6,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
10,707 N Wells St Chicago  6,"$2,707 - $5,521",1-3 Br,844-837-3913
11,601 W Jackson Blvd Chicago  6,"$1,620 - $4,730",Studio - 2 Br,844-443-8919
12,420 E Ohio St Chicago  6,"$1,575 - $4,160",Studio - 3 Br,888-380-0393
13,200 E Chestnut St Chicago  6,"$1,384 - $9,110",Studio - 2 Br,708-315-6519
14,1890 Maple St Chicago  6,"$1,636 - $5,988",Studio - 3 Br,224-420-9126
15,71 W Hubbard St Chicago  6,"$1,867 - $6,483",Studio - 3 Br,312-219-9513
16,850 S Clark St Chicago  6,"$1,749 - $3,391",Studio - 2 Br,312-462-1938
17,1209 W Arthur Ave Chicago  6,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
18,555 W Madison St Chicago  6,"$1,420 - $4,815",Studio - 2 Br,888-692-0211
19,8 W Chestnut St Chicago  6,"$1,575 - $2,709",1-2 Br,312-646-4941
20,545 N McClurg Ct Chicago  6,"$1,766 - $8,805",Studio - 3 Br,844-382-0901
21,25 W Randolph St Chicago  6,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
22,1350 N Lake Shore Dr Chicago  6,"$1,272 - $3,146",Studio - 2 Br,312-462-0403
23,1130 S Michigan Ave Chicago  6,"$1,506 - $3,608",Studio - 2 Br,866-610-8317
24,1001 S State St Chicago  6,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
