,Address,Price,Beds,Contact
0,625 W Division St Chicago  6,"$1,925 - $3,625",Studio - 2 Br,844-525-6919
1,707 N Wells St Chicago  6,"$2,707 - $5,796",1-3 Br,844-312-7045
2,601 W Jackson Blvd Chicago  6,"$1,305 - $4,541",Studio - 2 Br,844-443-8919
3,420 E Ohio St Chicago  6,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
4,840 W Blackhawk St Chicago  6,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
5,1 W Superior St Chicago  6,"$1,789 - $5,240",Studio - 2 Br,312-219-9516
6,200 E Illinois St Chicago  6,"$1,934 - $12,878",Studio - 3 Br,773-273-6395
7,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
8,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
9,400 E South Water St Chicago  6,"$1,968 - $4,040",Studio - 2 Br,866-599-7868
10,225 N Columbus Dr Chicago  6,"$2,095 - $5,462",Studio - 2 Br,866-933-3491
11,360 E South Water St Chicago  6,"$1,726 - $5,208",Studio - 2 Br,312-288-8069
12,345 E Wacker Dr Chicago  6,"$1,785 - $4,901",Studio - 3 Br,773-904-9571
13,555 W Kinzie St Chicago  6,"$1,554 - $5,735",Studio - 3 Br,312-288-8972
14,730 W Couch Pl Chicago  6,"$1,750 - $5,550",Studio - 3 Br,844-294-8524
15,123 N Des Plaines St Chicago  6,"$2,021 - $5,390",Studio - 3 Br,312-957-4484
16,5140 S Hyde Park Blvd Chicago  6,"$1,572 - $6,488",1-3 Br,773-432-4830
17,500 N Lake Shore Dr Chicago  6,"$1,820 - $4,420",Studio - 2 Br,312-548-6742
18,200 E Chestnut St Chicago  6,"$1,538 - $3,431",Studio - 2 Br,708-315-6519
19,1890 Maple St Chicago  6,"$1,683 - $5,000",Studio - 3 Br,224-420-9126
20,1209 W Arthur Ave Chicago  6,"$1,575 - $2,575",Studio - 2 Br,773-649-4071
21,71 W Hubbard St Chicago  6,"$1,870 - $6,535",Studio - 3 Br,312-219-9513
22,555 W Madison St Chicago  6,"$1,395 - $4,835",Studio - 2 Br,888-692-0211
23,850 S Clark St Chicago  6,"$1,724 - $3,437",Studio - 2 Br,312-462-1938
24,545 N McClurg Ct Chicago  6,"$1,995 - $8,805",Studio - 3 Br,844-382-0901
25,60638 About Us Chicago Ap,,,
