,Address,Price,Beds,Contact
0,200 E Chestnut St Chicago  6,"$1,271 - $7,591",Studio - 2 Br,708-315-6519
1,71 W Hubbard St Chicago  6,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
2,850 S Clark St Chicago  6,"$1,792 - $3,596",Studio - 2 Br,312-462-1938
3,555 W Madison St Chicago  6,"$1,380 - $7,740",Studio - 2 Br,888-692-0211
4,8 W Chestnut St Chicago  6,"$1,629 - $2,709",1-2 Br,312-646-4941
5,1350 N Lake Shore Dr Chicago  6,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
6,1130 S Michigan Ave Chicago  6,"$1,437 - $3,665",Studio - 2 Br,866-610-8317
7,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
8,161 W Kinzie St Chicago  6,"$1,745 - $6,337",Studio - 2 Br,844-892-1659
9,910 W Huron St Chicago  6,"$2,005 - $3,930",Studio - 4 Br,844-741-2982
10,400 N McClurg Ct Chicago  6,"$1,743 - $2,374",Studio - 2 Br,844-482-6861
11,601 W Jackson Blvd Chicago  6,"$1,590 - $4,098",Studio - 2 Br,844-443-8919
12,840 W Blackhawk St Chicago  6,"$1,854 - $4,117",Studio - 2 Br,866-958-8596
13,220 W Illinois St Chicago  6,"$2,075 - $4,145",Studio - 2 Br,773-492-6656
14,200 E Illinois St Chicago  6,"$2,053 - $12,878",Studio - 4 Br,773-273-6395
15,625 W Division St Chicago  6,"$1,775 - $3,700",Studio - 2 Br,844-525-6919
16,707 N Wells St Chicago  6,"$2,740 - $5,621",1-3 Br,844-837-3913
17,1 W Superior St Chicago  6,"$1,585 - $4,946",Studio - 2 Br,312-219-9516
18,400 E South Water St Chicago  6,"$1,736 - $2,628",Studio - 2 Br,866-599-7868
19,360 E South Water St Chicago  6,"$1,880 - $5,115",Studio - 2 Br,312-288-8069
20,343 W Wolf Point Plz Chicago  6,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
21,225 N Columbus Dr Chicago  6,"$1,629 - $5,428",Studio - 2 Br,866-933-3491
