,Address,Price,Beds,Contact
0,200 E Chestnut St Chicago  6,"$1,363 - $9,050",Studio - 2 Br,708-315-6519
1,850 S Clark St Chicago  6,"$1,751 - $3,410",Studio - 2 Br,312-462-1938
2,71 W Hubbard St Chicago  6,"$1,865 - $6,483",Studio - 3 Br,312-219-9513
3,1209 W Arthur Ave Chicago  6,"$1,450 - $2,575",Studio - 2 Br,773-649-4071
4,555 W Madison St Chicago  6,"$1,425 - $4,760",Studio - 2 Br,888-692-0211
5,545 N McClurg Ct Chicago  6,"$1,766 - $8,805",Studio - 3 Br,844-382-0901
6,8 W Chestnut St Chicago  6,"$1,475 - $2,709",1-2 Br,312-646-4941
7,1350 N Lake Shore Dr Chicago  6,"$1,272 - $3,146",Studio - 2 Br,312-462-0403
8,1130 S Michigan Ave Chicago  6,"$1,501 - $3,506",Studio - 2 Br,866-610-8317
9,1001 S State St Chicago  6,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
10,25 W Randolph St Chicago  6,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
11,910 W Huron St Chicago  6,"$1,995 - $3,315",Studio - 4 Br,844-741-2982
12,161 W Kinzie St Chicago  6,"$1,920 - $6,337",Studio - 2 Br,844-892-1659
13,400 N McClurg Ct Chicago  6,"$1,897 - $2,576",Studio - 2 Br,844-482-6861
14,5454 S Shore Dr Chicago  6,"$1,655 - $3,775",1-3 Br,844-815-4511
15,200 E Illinois St Chicago  6,"$2,154 - $12,878",Studio - 3 Br,773-273-6395
16,1 W Superior St Chicago  6,"$1,658 - $3,637",Studio - 2 Br,312-219-9516
17,840 W Blackhawk St Chicago  6,"$1,877 - $4,306",Studio - 2 Br,866-958-8596
18,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
19,625 W Division St Chicago  6,"$1,850 - $3,650",Studio - 2 Br,844-525-6919
20,707 N Wells St Chicago  6,"$2,707 - $5,796",1-3 Br,844-837-3913
