,Address,Price,Beds,Contact
0,225 N Columbus Dr Chicago  6,"$1,634 - $5,050",Studio - 2 Br,866-933-3491
1,805 N LaSalle Dr Chicago  6,"$1,600 - $5,100",Studio - 2 Br,872-206-3038
2,360 E South Water St Chicago  6,"$1,726 - $3,884",Studio - 2 Br,312-288-8069
3,400 N McClurg Ct Chicago  6,"$1,845 - $2,926",Studio - 2 Br,844-482-6861
4,5140 S Hyde Park Blvd Chicago  6,"$1,398 - $5,781",1-3 Br,773-432-4830
5,400 E South Water St Chicago  6,"$1,631 - $3,895",Studio - 2 Br,866-599-7868
6,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
7,200 E Chestnut St Chicago  6,"$1,218 - $7,177",Studio - 2 Br,708-315-6519
8,340 E North Water St Chicago  6,"$1,819 - $10,995",Studio - 3 Br,844-402-4750
9,200 E Illinois St Chicago  6,"$1,924 - $12,878",Studio - 4 Br,773-273-6395
10,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
11,37 W Van Buren St Chicago  6,"$1,899 - $1,999",Studio - 4 Br,844-250-5735
12,161 W Kinzie St Chicago  6,"$1,840 - $6,337",Studio - 2 Br,844-892-1659
13,1130 S Michigan Ave Chicago  6,"$1,329 - $3,273",Studio - 2 Br,866-610-8317
14,500 N Lake Shore Dr Chicago  6,"$2,285 - $3,790",Studio - 2 Br,312-548-6742
15,850 N Lake Shore Dr Chicago  6,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
16,1350 N Lake Shore Dr Chicago  6,"$1,272 - $2,994",Studio - 2 Br,312-462-0403
17,1 W Superior St Chicago  6,"$1,682 - $4,480",Studio - 2 Br,312-219-9516
18,850 S Clark St Chicago  6,"$1,765 - $3,584",Studio - 2 Br,312-462-1938
19,71 W Hubbard St Chicago  6,"$1,787 - $6,495",Studio - 3 Br,312-219-9513
20,555 W Madison St Chicago  6,"$1,315 - $4,015",Studio - 2 Br,888-692-0211
