,Address,Price,Beds,Contact
0,5140 S Hyde Park Blvd Chicago  6,"$1,415 - $3,927",1-3 Br,773-432-4830
1,840 W Blackhawk St Chicago  6,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
2,1 W Superior St Chicago  6,"$1,638 - $5,018",Studio - 2 Br,312-219-9516
3,200 E Illinois St Chicago  6,"$2,373 - $12,878",Studio - 3 Br,773-273-6395
4,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
5,625 W Division St Chicago  6,"$1,875 - $3,650",Studio - 2 Br,844-525-6919
6,707 N Wells St Chicago  6,"$2,707 - $5,521",1-3 Br,844-837-3913
7,601 W Jackson Blvd Chicago  6,"$1,306 - $4,749",Studio - 2 Br,844-443-8919
8,420 E Ohio St Chicago  6,"$1,615 - $4,495",Studio - 3 Br,888-380-0393
9,347 W Chestnut St Chicago  6,"$1,725 - $6,500",Studio - 3 Br,312-702-1232
10,200 E Chestnut St Chicago  6,"$1,473 - $9,127",Studio - 2 Br,708-315-6519
11,1890 Maple St Chicago  6,"$1,648 - $5,000",Studio - 3 Br,224-420-9126
12,850 S Clark St Chicago  6,"$1,738 - $3,352",Studio - 2 Br,312-462-1938
13,71 W Hubbard St Chicago  6,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
14,1209 W Arthur Ave Chicago  6,"$1,380 - $2,575",Studio - 2 Br,773-649-4071
15,555 W Madison St Chicago  6,"$1,405 - $5,025",Studio - 2 Br,888-692-0211
16,8 W Chestnut St Chicago  6,"$1,629 - $2,709",1-2 Br,312-646-4941
17,545 N McClurg Ct Chicago  6,"$1,882 - $8,805",Studio - 3 Br,844-382-0901
18,1350 N Lake Shore Dr Chicago  6,"$1,272 - $3,146",Studio - 2 Br,312-462-0403
19,1130 S Michigan Ave Chicago  6,"$1,440 - $5,019",Studio - 2 Br,866-610-8317
20,1001 S State St Chicago  6,"$1,610 - $5,735",Studio - 3 Br,844-843-7332
21,25 W Randolph St Chicago  6,"$1,915 - $7,987",Studio - 3 Br,844-808-9214
22,11 S Green St Chicago  6,"$1,609 - $3,390",Studio - 2 Br,844-417-3242
23,161 W Kinzie St Chicago  6,"$2,045 - $6,337",Studio - 2 Br,844-892-1659
