,Address,Price,Beds,Contact
0,1350 N Lake Shore Dr Chicago  6,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
1,910 W Huron St Chicago  6,"$1,960 - $3,565",Studio - 4 Br,844-741-2982
2,200 E Illinois St Chicago  6,"$2,061 - $12,878",Studio - 4 Br,773-273-6395
3,400 N McClurg Ct Chicago  6,"$1,752 - $3,019",Studio - 2 Br,844-482-6861
4,220 W Illinois St Chicago  6,"$2,025 - $4,145",Studio - 2 Br,773-492-6656
5,1130 S Michigan Ave Chicago  6,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
6,555 W Madison St Chicago  6,"$1,350 - $3,985",Studio - 2 Br,888-692-0211
7,71 W Hubbard St Chicago  6,"$1,795 - $6,495",Studio - 3 Br,312-219-9513
8,500 N Lake Shore Dr Chicago  6,"$1,745 - $3,965",Studio - 2 Br,312-548-6742
9,400 E South Water St Chicago  6,"$1,660 - $3,526",Studio - 2 Br,866-599-7868
10,200 E Chestnut St Chicago  6,"$1,104 - $7,467",Studio - 2 Br,708-315-6519
11,340 E North Water St Chicago  6,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
12,360 E South Water St Chicago  6,"$1,551 - $4,395",Studio - 2 Br,312-288-8069
13,123 N Des Plaines St Chicago  6,"$2,389 - $5,330",Studio - 3 Br,312-957-4484
14,345 E Wacker Dr Chicago  6,"$1,682 - $3,543",Studio - 3 Br,773-904-9571
15,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
16,850 S Clark St Chicago  6,"$1,768 - $3,542",Studio - 2 Br,312-462-1938
17,225 N Columbus Dr Chicago  6,"$1,630 - $3,682",Studio - 2 Br,866-933-3491
18,1 W Superior St Chicago  6,"$1,441 - $3,534",Studio - 2 Br,312-219-9516
19,850 N Lake Shore Dr Chicago  6,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
