,Address,Price,Beds,Contact
0,601 W Jackson Blvd Chicago  6,"$1,305 - $4,491",Studio - 2 Br,844-443-8919
1,420 E Ohio St Chicago  6,"$1,615 - $4,600",Studio - 3 Br,888-380-0393
2,840 W Blackhawk St Chicago  6,"$1,919 - $4,569",Studio - 2 Br,866-958-8596
3,1 W Superior St Chicago  6,"$1,557 - $4,857",Studio - 2 Br,312-219-9516
4,200 E Illinois St Chicago  6,"$2,364 - $12,878",Studio - 3 Br,773-273-6395
5,500 N Milwaukee Ave Chicago  6,"$1,580 - $5,500",Studio - 3 Br,312-964-3768
6,707 N Wells St Chicago  6,"$2,707 - $5,796",1-3 Br,844-837-3913
7,625 W Division St Chicago  6,"$1,875 - $3,625",Studio - 2 Br,844-525-6919
8,400 E South Water St Chicago  6,"$1,725 - $3,811",Studio - 2 Br,866-599-7868
9,360 E South Water St Chicago  6,"$1,770 - $5,345",Studio - 2 Br,312-288-8069
10,343 W Wolf Point Plz Chicago  6,"$1,908 - $10,900",Studio - 3 Br,844-811-0188
11,225 N Columbus Dr Chicago  6,"$2,116 - $5,394",Studio - 2 Br,866-933-3491
12,345 E Wacker Dr Chicago  6,"$1,744 - $3,433",Studio - 3 Br,773-904-9571
13,730 W Couch Pl Chicago  6,"$1,750 - $5,150",Studio - 3 Br,844-294-8524
14,555 W Kinzie St Chicago  6,"$1,561 - $10,235",Studio - 3 Br,312-288-8972
15,123 N Des Plaines St Chicago  6,"$1,936 - $5,366",Studio - 3 Br,312-957-4484
16,500 N Lake Shore Dr Chicago  6,"$1,885 - $4,030",Studio - 2 Br,312-548-6742
17,5140 S Hyde Park Blvd Chicago  6,"$1,392 - $6,216",1-3 Br,773-432-4830
18,200 E Chestnut St Chicago  6,"$1,620 - $9,124",Studio - 2 Br,708-315-6519
19,1890 Maple St Chicago  6,"$1,636 - $5,000",Studio - 3 Br,224-420-9126
20,71 W Hubbard St Chicago  6,"$1,870 - $6,483",Studio - 3 Br,312-219-9513
21,850 S Clark St Chicago  6,"$1,738 - $3,383",Studio - 2 Br,312-462-1938
22,1209 W Arthur Ave Chicago  6,"$1,570 - $2,575",Studio - 2 Br,773-649-4071
23,555 W Madison St Chicago  6,"$1,406 - $4,850",Studio - 2 Br,888-692-0211
24,60638 About Us Chicago Ap,,,
