,Address,Price,Beds,Contact
0,850 S Clark St Chicago  6,"$1,771 - $3,571",Studio - 2 Br,312-462-1938
1,200 E Illinois St Chicago  6,"$2,061 - $12,878",Studio - 4 Br,773-273-6395
2,1350 N Lake Shore Dr Chicago  6,"$1,236 - $2,994",Studio - 2 Br,312-462-0403
3,850 N Lake Shore Dr Chicago  6,"$2,360 - $10,000",Studio - 3 Br,312-462-1903
4,71 W Hubbard St Chicago  6,"$1,793 - $6,495",Studio - 3 Br,312-219-9513
5,765 W Adams St Chicago  6,"$1,659 - $9,350",Studio - 3 Br,773-675-1174
6,11 S Green St Chicago  6,"$1,584 - $3,425",Studio - 2 Br,844-417-3242
7,123 N Des Plaines St Chicago  6,"$2,079 - $5,377",Studio - 3 Br,312-957-4484
8,340 E North Water St Chicago  6,"$1,819 - $11,025",Studio - 3 Br,844-402-4750
9,225 N Columbus Dr Chicago  6,"$1,630 - $3,682",Studio - 2 Br,866-933-3491
10,500 N Lake Shore Dr Chicago  6,"$1,750 - $3,990",Studio - 2 Br,312-548-6742
11,910 W Huron St Chicago  6,"$1,875 - $4,595",Studio - 4 Br,844-741-2982
12,200 E Chestnut St Chicago  6,"$1,143 - $7,467",Studio - 2 Br,708-315-6519
13,345 E Wacker Dr Chicago  6,"$1,682 - $3,559",Studio - 3 Br,773-904-9571
14,400 E South Water St Chicago  6,"$1,660 - $3,884",Studio - 2 Br,866-599-7868
15,840 W Blackhawk St Chicago  6,"$1,687 - $4,118",Studio - 2 Br,866-958-8596
16,1130 S Michigan Ave Chicago  6,"$1,538 - $3,443",Studio - 2 Br,866-610-8317
17,555 W Madison St Chicago  6,"$1,335 - $4,000",Studio - 2 Br,888-692-0211
18,5140 S Hyde Park Blvd Chicago  6,"$1,427 - $5,781",1-3 Br,773-432-4830
