,Address,Price,Beds,Contact
0,1350 N Lake Shore Dr Chicago  6,"$1,367 - 3,078",,312-462-0403
1,1130 S Michigan Ave Chicago  6,"$1,486 - 3,681",,866-610-8317
2,25 W Randolph St Chicago  6,"$1,823 - 7,987",,844-808-9214
3,161 W Kinzie St Chicago  6,"$1,695 - 6,337",,844-892-1659
4,400 N McClurg Ct Chicago  6,"$1,740 - 3,061",,844-482-6861
5,71 W Hubbard St Chicago  6,"$1,795 - 6,483",,312-219-9513
6,200 E Chestnut St Chicago  6,"$1,198 - 8,357",,708-315-6519
7,850 S Clark St Chicago  6,"$1,756 - 3,510",,312-462-1938
8,555 W Madison St Chicago  6,"$1,395 - 4,065",,888-692-0211
9,8 W Chestnut St Chicago  6,"$1,539 - 2,709",,312-646-4941
10,1 W Superior St Chicago  6,"$1,732 - 4,114",,312-219-9516
11,200 E Illinois St Chicago  6,"$2,168 - 12,878",,773-273-6395
12,601 W Jackson Blvd Chicago  6,"$1,520 - 4,565",,844-443-8919
13,625 W Division St Chicago  6,"$1,825 - 3,700",,844-525-6919
14,840 W Blackhawk St Chicago  6,"$2,021 - 4,016",,866-958-8596
15,400 E South Water St Chicago  6,"$1,792 - 4,595",,866-599-7868
16,360 E South Water St Chicago  6,"$1,624 - 4,239",,312-288-8069
17,343 W Wolf Point Plz Chicago  6,"$1,841 - 10,900",,844-811-0188
18,225 N Columbus Dr Chicago  6,"$1,766 - 5,241",,866-933-3491
19,345 E Wacker Dr Chicago  6,"$1,701 - 4,403",,773-904-9571
20,555 W Kinzie St Chicago  6,"$1,557 - 4,530",,312-288-8972
21,123 N Des Plaines St Chicago  6,"$2,138 - 4,470",,312-957-4484
22,5140 S Hyde Park Blvd Chicago  6,"$1,399 - 3,969",,773-432-4830
