,Address,Price,Beds,Contact
0,1 W Superior St Chicago  6,"$1,572 - $4,114",Studio - 2 Br,312-219-9516
1,601 W Jackson Blvd Chicago  6,"$1,520 - $4,565",Studio - 2 Br,844-443-8919
2,555 W Kinzie St Chicago  6,"$1,551 - $4,498",Studio - 3 Br,312-288-8972
3,840 W Blackhawk St Chicago  6,"$2,026 - $4,238",Studio - 2 Br,866-958-8596
4,1350 N Lake Shore Dr Chicago  6,"$1,339 - $3,078",Studio - 2 Br,312-462-0403
5,1130 S Michigan Ave Chicago  6,"$1,422 - $3,681",Studio - 2 Br,866-610-8317
6,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
7,910 W Huron St Chicago  6,"$1,970 - $3,330",Studio - 4 Br,844-741-2982
8,161 W Kinzie St Chicago  6,"$1,755 - $6,337",Studio - 2 Br,844-892-1659
9,400 N McClurg Ct Chicago  6,"$1,731 - $3,061",Studio - 2 Br,844-482-6861
10,71 W Hubbard St Chicago  6,"$1,795 - $6,483",Studio - 3 Br,312-219-9513
11,850 S Clark St Chicago  6,"$1,753 - $3,490",Studio - 2 Br,312-462-1938
12,555 W Madison St Chicago  6,"$1,400 - $4,065",Studio - 2 Br,888-692-0211
13,8 W Chestnut St Chicago  6,"$1,475 - $2,709",1-2 Br,312-646-4941
14,500 N Lake Shore Dr Chicago  6,"$1,860 - $4,095",Studio - 2 Br,312-548-6742
15,400 E South Water St Chicago  6,"$1,792 - $4,595",Studio - 2 Br,866-599-7868
16,1209 W Arthur Ave Chicago  6,"$1,450 - $2,290",Studio - 2 Br,773-649-4071
17,625 W Division St Chicago  6,"$1,825 - $3,700",Studio - 2 Br,844-525-6919
18,5140 S Hyde Park Blvd Chicago  6,"$1,439 - $4,037",1-3 Br,773-432-4830
19,200 E Chestnut St Chicago  6,"$1,198 - $8,375",Studio - 2 Br,708-315-6519
20,200 E Illinois St Chicago  6,"$2,168 - $12,878",Studio - 3 Br,773-273-6395
21,360 E South Water St Chicago  6,"$1,585 - $4,239",Studio - 2 Br,312-288-8069
22,343 W Wolf Point Plz Chicago  6,"$1,841 - $10,900",Studio - 3 Br,844-811-0188
