,Address,Price,Beds,Contact
0,343 W Wolf Point Plz Chicago  6,"$1,761 - $10,617",Studio - 3 Br,844-811-0188
1,400 E South Water St Chicago  6,"$1,736 - $2,640",Studio - 2 Br,866-599-7868
2,345 E Wacker Dr Chicago  6,"$1,434 - $3,583",Studio - 3 Br,773-904-9571
3,360 E South Water St Chicago  6,"$1,880 - $5,115",Studio - 2 Br,312-288-8069
4,225 N Columbus Dr Chicago  6,"$1,611 - $5,428",Studio - 2 Br,866-933-3491
5,555 W Kinzie St Chicago  6,"$1,626 - $4,398",Studio - 3 Br,312-288-8972
6,123 N Des Plaines St Chicago  6,"$2,045 - $5,847",Studio - 3 Br,312-957-4484
7,601 W Jackson Blvd Chicago  6,"$1,590 - $4,098",Studio - 2 Br,844-443-8919
8,500 N Lake Shore Dr Chicago  6,"$1,885 - $4,275",Studio - 2 Br,312-548-6742
9,5140 S Hyde Park Blvd Chicago  6,"$1,399 - $5,294",1-3 Br,773-432-4830
10,200 E Chestnut St Chicago  6,"$1,294 - $7,591",Studio - 2 Br,708-315-6519
11,555 W Madison St Chicago  6,"$1,370 - $7,740",Studio - 2 Br,888-692-0211
12,71 W Hubbard St Chicago  6,"$1,795 - $6,438",Studio - 3 Br,312-219-9513
13,850 S Clark St Chicago  6,"$1,792 - $3,596",Studio - 2 Br,312-462-1938
14,8 W Chestnut St Chicago  6,"$1,629 - $2,699",1-2 Br,312-646-4941
15,1130 S Michigan Ave Chicago  6,"$1,437 - $3,665",Studio - 2 Br,866-610-8317
16,1350 N Lake Shore Dr Chicago  6,"$1,338 - $2,998",Studio - 2 Br,312-462-0403
17,25 W Randolph St Chicago  6,"$1,823 - $7,987",Studio - 3 Br,844-808-9214
18,910 W Huron St Chicago  6,"$2,005 - $3,985",Studio - 4 Br,844-741-2982
19,161 W Kinzie St Chicago  6,"$1,745 - $6,337",Studio - 2 Br,844-892-1659
20,400 N McClurg Ct Chicago  6,"$1,743 - $2,924",Studio - 2 Br,844-482-6861
21,840 W Blackhawk St Chicago  6,"$1,846 - $4,117",Studio - 2 Br,866-958-8596
22,60638 About Us Chicago Ap,,,
