,Address,Price,Beds,Contact
0,500 N Lake Shore Dr Chicago  6,"$2,065 - 2,735",,312-548-6742
1,5140 S Hyde Park Blvd Chicago  6,"$1,479 - 4,037",,773-432-4830
2,840 W Blackhawk St Chicago  6,"$2,169 - 4,200",,866-958-8596
3,1 W Superior St Chicago  6,"$1,569 - 4,114",,312-219-9516
4,200 E Illinois St Chicago  6,"$2,182 - 12,878",,773-273-6395
5,707 N Wells St Chicago  6,"$2,760 - 5,621",,844-837-3913
6,625 W Division St Chicago  6,"$1,850 - 3,650",,844-525-6919
7,601 W Jackson Blvd Chicago  6,"$1,620 - 4,665",,844-443-8919
8,200 E Chestnut St Chicago  6,"$1,207 - 8,375",,708-315-6519
9,8 W Chestnut St Chicago  6,"$1,475 - 2,709",,312-646-4941
10,545 N McClurg Ct Chicago  6,"$1,766 - 8,805",,844-382-0901
11,71 W Hubbard St Chicago  6,"$1,859 - 6,483",,312-219-9513
12,850 S Clark St Chicago  6,"$1,750 - 3,444",,312-462-1938
13,555 W Madison St Chicago  6,"$1,395 - 4,690",,888-692-0211
14,1350 N Lake Shore Dr Chicago  6,"$1,339 - 3,078",,312-462-0403
15,1130 S Michigan Ave Chicago  6,"$1,422 - 3,712",,866-610-8317
16,25 W Randolph St Chicago  6,"$1,823 - 7,987",,844-808-9214
17,161 W Kinzie St Chicago  6,"$1,625 - 6,337",,844-892-1659
18,910 W Huron St Chicago  6,"$1,970 - 3,865",,844-741-2982
19,400 N McClurg Ct Chicago  6,"$1,818 - 3,069",,844-482-6861
20,730 W Couch Pl Chicago  6,"$1,750 - 5,000",,844-294-8524
21,400 E South Water St Chicago  6,"$1,851 - 4,603",,866-599-7868
